User ID,Number of days
123456,1
123457,1
123458,1
123459,1
123460,1
123461,1
123462,1
123463,1
123464,1
123465,1
123466,1
123467,1
123468,1
123469,1
123470,1
123471,1
123472,1
123473,1
123474,1
123475,1
123476,1
123477,1
123478,1
123479,1
123480,1
123481,1
123482,1
123483,1
123484,1
123485,1
123486,1
123487,1
123488,1
123489,2
123490,2
123491,2
123492,2
123493,2
123494,2
123495,2
123496,2
123497,2
123498,2
123499,2
123500,2
123501,2
123502,2
123503,2
123504,2
123505,2
123506,2
123507,2
123508,2
123509,2
123510,2
123511,2
123512,3
123513,3
123514,3
123515,3
123516,3
123517,3
123518,3
123519,3
123520,3
123521,3
123522,3
123523,3
123524,3
123525,3
123526,4
123527,4
123528,4
123529,4
123530,4
123531,4
123532,4
123533,4
123534,4
123535,4
123536,4
123537,4
123538,4
123539,4
123540,5
123541,5
123542,5
123543,5
123544,5
123545,5
123546,5
123547,5
123548,5
123549,5
123550,5
123551,5
123552,5
123553,5
123554,5
123555,5
123556,5
123557,6
123558,6
123559,6
123560,6
123561,6
123562,6
123563,6
123564,6
123565,6
123566,6
123567,6
123568,6
123569,6
123570,6
123571,6
123572,6
123573,6
123574,6
123575,6
123576,6
123577,6
123578,6
123579,7
123580,7
123581,7
123582,7
123583,7
123584,7
123585,7
123586,7
123587,7
123588,7
123589,7
123590,8
123591,8
123592,8
123593,8
123594,8
123595,8
123596,8
123597,8
123598,8
123599,9
123600,9
123601,9
123602,9
123603,9
123604,9
123605,9
123606,9
123607,10
123608,10
123609,10
123610,10
123611,10
123612,10
123613,10
123614,10
123615,11
123616,11
123617,11
123618,11
123619,11
123620,11
123621,11
123622,11
123623,11
123624,11
123625,12
123626,12
123627,12
123628,12
123629,12
123630,13
123631,13
123632,13
123633,13
123634,13
123635,13
123636,13
123637,13
123638,13
123639,14
123640,14
123641,14
123642,14
123643,14
123644,14
123645,14
123646,15
123647,15
123648,15
123649,15
123650,15
123651,15
123652,15
123653,15
123654,15
123655,15
123656,15
123657,16
123658,16
123659,16
123660,17
123661,17
123662,17
123663,17
123664,17
123665,17
123666,18
123667,18
123668,18
123669,18
123670,18
123671,18
123672,19
123673,19
123674,20
123675,20
123676,21
123677,21
123678,21
123679,22
123680,22
123681,22
123682,22
123683,24
123684,24
123685,24
123686,25
123687,25
123688,25
123689,26
123690,27
123691,27
123692,28
123693,28
123694,28
123695,28
123696,28
123697,28
123698,29
123699,29
123700,29
123701,29
123702,29
123703,30
123704,30
123705,30
123706,31
123707,31
123708,32
123709,33
123710,33
123711,33
123712,34
123713,34
123714,36
123715,36
123716,36
123717,36
123718,36
123719,36
123720,37
123721,37
123722,37
123723,38
123724,38
123725,39
123726,39
123727,40
123728,40
123729,40
123730,40
123731,40
123732,40
123733,41
123734,42
123735,42
123736,42
123737,42
123738,43
123739,43
123740,44
123741,45
123742,45
123743,45
123744,46
123745,46
123746,46
123747,46
123748,47
123749,47
123750,47
123751,48
123752,48
123753,48
123754,48
123755,48
123756,49
123757,49
123758,49
123759,49
123760,50
123761,50
123762,53
123763,54
123764,55
123765,56
123766,56
123767,56
123768,56
123769,56
123770,56
123771,57
123772,57
123773,58
123774,58
123775,59
123776,60
123777,63
123778,63
123779,64
123780,64
123781,64
123782,64
123783,65
123784,66
123785,66
123786,67
123787,67
123788,69
123789,70
123790,70
123791,70
123792,70
123793,70
123794,71
123795,71
123796,71
123797,71
123798,72
123799,72
123800,72
123801,74
123802,74
123803,76
123804,76
123805,76
123806,78
123807,78
123808,78
123809,78
123810,79
123811,79
123812,79
123813,80
123814,80
123815,81
123816,82
123817,82
123818,82
123819,82
123820,83
123821,84
123822,84
123823,84
123824,85
123825,85
123826,86
123827,86
123828,86
123829,86
123830,87
123831,87
123832,87
123833,88
123834,88
123835,90
123836,90
123837,91
123838,91
123839,92
123840,92
123841,93
123842,93
123843,94
123844,94
123845,94
123846,95
123847,96
123848,96
123849,96
123850,97
123851,100
123852,101
123853,101
123854,101
123855,102
123856,103
123857,104
123858,104
123859,104
123860,105
123861,106
123862,106
123863,107
123864,109
123865,109
123866,110
123867,111
123868,112
123869,112
123870,115
123871,117
123872,117
123873,119
123874,119
123875,119
123876,120
123877,120
123878,123
123879,124
123880,125
123881,126
123882,126
123883,127
123884,128
123885,129
123886,130
123887,131
123888,131
123889,131
123890,132
123891,132
123892,132
123893,133
123894,133
123895,134
123896,134
123897,134
123898,135
123899,135
123900,136
123901,137
123902,137
123903,137
123904,137
123905,141
123906,142
123907,142
123908,142
123909,142
123910,143
123911,144
123912,144
123913,144
123914,147
123915,148
123916,148
123917,149
123918,149
123919,149
123920,150
123921,150
123922,152
123923,154
123924,154
123925,155
123926,155
123927,156
123928,156
123929,156
123930,157
123931,158
123932,160
123933,161
123934,161
123935,161
123936,161
123937,161
123938,162
123939,162
123940,163
123941,163
123942,164
123943,164
123944,164
123945,164
123946,165
123947,165
123948,166
123949,166
123950,167
123951,168
123952,168
123953,169
123954,170
123955,170
123956,170
123957,172
123958,173
123959,174
123960,174
123961,174
123962,174
123963,175
123964,176
123965,177
123966,177
123967,178
123968,178
123969,178
123970,179
123971,179
123972,180
123973,180
123974,181
123975,183
123976,184
123977,184
123978,185
123979,188
123980,189
123981,191
123982,191
123983,192
123984,192
123985,193
123986,194
123987,194
123988,195
123989,196
123990,196
123991,198
123992,199
123993,203
123994,204
123995,205
123996,207
123997,207
123998,207
123999,208
124000,209
124001,210
124002,211
124003,212
124004,212
124005,213
124006,214
124007,214
124008,214
124009,219
124010,220
124011,222
124012,222
124013,222
124014,223
124015,223
124016,225
124017,226
124018,229
124019,230
124020,232
124021,233
124022,233
124023,234
124024,235
124025,237
124026,238
124027,240
124028,240
124029,242
124030,245
124031,247
124032,249
124033,249
124034,250
124035,250
124036,251
124037,253
124038,253
124039,255
124040,256
124041,256
124042,257
124043,258
124044,258
124045,259
124046,259
124047,262
124048,263
124049,264
124050,265
124051,266
124052,266
124053,268
124054,270
124055,270
124056,271
124057,271
124058,272
124059,272
124060,272
124061,273
124062,275
124063,277
124064,279
124065,280
124066,280
124067,281
124068,282
124069,284
124070,285
124071,287
124072,287
124073,288
124074,289
124075,290
124076,292
124077,293
124078,294
124079,297
124080,298
124081,299
124082,300
124083,300
124084,301
124085,301
124086,302
124087,303
124088,305
124089,306
124090,306
124091,307
124092,309
124093,309
124094,309
124095,310
124096,310
124097,311
124098,312
124099,313
124100,315
124101,315
124102,316
124103,316
124104,318
124105,318
124106,321
124107,321
124108,321
124109,321
124110,321
124111,322
124112,323
124113,324
124114,324
124115,326
124116,326
124117,327
124118,331
124119,331
124120,332
124121,333
124122,335
124123,339
124124,339
124125,340
124126,343
124127,343
124128,343
124129,344
124130,345
124131,347
124132,348
124133,349
124134,351
124135,353
124136,354
124137,355
124138,356
124139,356
124140,357
124141,358
124142,360
124143,361
124144,362
124145,362
124146,363
124147,363
124148,364
124149,364
124150,365
124151,365
124152,366
124153,366
124154,367
124155,368
124156,369
124157,369
124158,373
124159,373
124160,377
124161,377
124162,378
124163,379
124164,379
124165,381
124166,382
124167,384
124168,384
124169,386
124170,387
124171,389
124172,391
124173,392
124174,393
124175,394
124176,394
124177,399
124178,399
124179,399
124180,399
124181,400
124182,402
124183,405
124184,407
124185,407
124186,408
124187,410
124188,410
124189,412
124190,412
124191,415
124192,416
124193,417
124194,419
124195,419
124196,420
124197,423
124198,426
124199,426
124200,426
124201,427
124202,427
124203,433
124204,433
124205,433
124206,434
124207,434
124208,434
124209,435
124210,440
124211,441
124212,441
124213,441
124214,442
124215,443
124216,444
124217,445
124218,447
124219,448
124220,448
124221,449
124222,450
124223,451
124224,454
124225,457
124226,459
124227,461
124228,461
124229,462
124230,462
124231,462
124232,464
124233,464
124234,465
124235,466
124236,466
124237,466
124238,468
124239,469
124240,469
124241,470
124242,470
124243,470
124244,479
124245,480
124246,480
124247,481
124248,484
124249,485
124250,486
124251,486
124252,487
124253,487
124254,487
124255,488
124256,488
124257,491
124258,491
124259,492
124260,492
124261,494
124262,494
124263,494
124264,494
124265,494
124266,498
124267,501
124268,504
124269,504
124270,505
124271,505
124272,506
124273,510
124274,510
124275,511
124276,513
124277,513
124278,514
124279,515
124280,516
124281,516
124282,517
124283,518
124284,520
124285,521
124286,522
124287,522
124288,524
124289,526
124290,526
124291,526
124292,528
124293,529
124294,529
124295,531
124296,532
124297,532
124298,532
124299,534
124300,535
124301,536
124302,538
124303,541
124304,542
124305,542
124306,544
124307,546
124308,547
124309,548
124310,551
124311,554
124312,554
124313,554
124314,556
124315,560
124316,561
124317,561
124318,561
124319,562
124320,562
124321,563
124322,564
124323,565
124324,565
124325,566
124326,566
124327,568
124328,571
124329,572
124330,573
124331,574
124332,575
124333,575
124334,576
124335,577
124336,578
124337,580
124338,583
124339,583
124340,591
124341,603
124342,603
124343,604
124344,607
124345,607
124346,608
124347,608
124348,608
124349,608
124350,611
124351,612
124352,612
124353,612
124354,616
124355,616
124356,617
124357,618
124358,618
124359,619
124360,620
124361,621
124362,622
124363,625
124364,628
124365,629
124366,630
124367,634
124368,636
124369,644
124370,644
124371,646
124372,646
124373,647
124374,647
124375,648
124376,650
124377,650
124378,653
124379,654
124380,654
124381,656
124382,662
124383,663
124384,664
124385,664
124386,669
124387,670
124388,671
124389,678
124390,679
124391,679
124392,679
124393,680
124394,681
124395,684
124396,686
124397,688
124398,689
124399,690
124400,694
124401,701
124402,703
124403,704
124404,706
124405,708
124406,708
124407,710
124408,712
124409,714
124410,714
124411,715
124412,716
124413,718
124414,722
124415,728
124416,730
124417,732
124418,734
124419,734
124420,735
124421,736
124422,738
124423,738
124424,740
124425,742
124426,742
124427,742
124428,742
124429,743
124430,745
124431,745
124432,747
124433,747
124434,749
124435,750
124436,750
124437,753
124438,755
124439,756
124440,756
124441,757
124442,758
124443,761
124444,763
124445,768
124446,769
124447,773
124448,773
124449,774
124450,774
124451,777
124452,779
124453,779
124454,783
124455,783
124456,784
124457,785
124458,789
124459,789
124460,792
124461,794
124462,796
124463,797
124464,798
124465,798
124466,798
124467,798
124468,800
124469,800
124470,801
124471,805
124472,810
124473,811
124474,823
124475,829
124476,830
124477,832
124478,832
124479,832
124480,834
124481,834
124482,837
124483,844
124484,847
124485,853
124486,853
124487,854
124488,858
124489,858
124490,861
124491,864
124492,869
124493,874
124494,875
124495,880
124496,889
124497,891
124498,891
124499,892
124500,893
124501,895
124502,897
124503,900
124504,900
124505,902
124506,904
124507,909
124508,914
124509,916
124510,917
124511,921
124512,928
124513,928
124514,929
124515,931
124516,937
124517,938
124518,940
124519,945
124520,946
124521,951
124522,957
124523,962
124524,964
124525,974
124526,980
124527,990
124528,994
124529,995
124530,998
124531,998
124532,999
124533,1001
124534,1001
124535,1004
124536,1007
124537,1009
124538,1009
124539,1010
124540,1011
124541,1012
124542,1012
124543,1023
124544,1029
124545,1032
124546,1039
124547,1039
124548,1047
124549,1050
124550,1050
124551,1055
124552,1058
124553,1060
124554,1063
124555,1070
124556,1073
124557,1077
124558,1078
124559,1090
124560,1091
124561,1093
124562,1104
124563,1108
124564,1113
124565,1114
124566,1115
124567,1126
124568,1128
124569,1138
124570,1139
124571,1143
124572,1146
124573,1147
124574,1155
124575,1158
124576,1170
124577,1173
124578,1177
124579,1182
124580,1184
124581,1188
124582,1197
124583,1223
124584,1224
124585,1238
124586,1248
124587,1249
124588,1260
124589,1269
124590,1310
124591,1313
124592,1323
124593,1329
124594,1335
124595,1336
124596,1344
124597,1349
124598,1349
124599,1350
124600,1351
124601,1351
124602,1353
124603,1355
124604,1361
124605,1365
124606,1371
124607,1375
124608,1376
124609,1385
124610,1422
124611,1446
124612,1446
124613,1448
124614,1468
124615,1540
124616,1554
124617,1567
124618,1572
124619,1574
124620,1587
124621,1612
124622,1620
124623,1627
124624,1628
124625,1696
124626,1702
124627,1722
124628,1724
124629,1736
124630,1784
124631,1795
124632,1817
124633,1822
124634,1841
124635,1843
124636,1851
124637,1895
124638,1917
124639,1936
124640,1952
124641,1961
124642,1980
124643,2125
124644,2145
124645,2232
124646,2341
124647,2366
124648,2430
124649,2455
124650,2596
124651,2597
124652,2684
124653,2688
124654,2693
124655,2696
124656,2708
124657,2808
124658,2838
124659,2844
124660,2854
124661,2970
124662,3216